timestamp,block,token,spread,profit
2025-05-02T23:21:53.843Z,22399353,USDC,1.5,0.001923
2025-05-02T23:21:54.199Z,22399353,DAI,1.5,0.002002
2025-05-02T23:21:54.488Z,22399353,UNI,1.5,0.000654
2025-05-02T23:21:54.725Z,22399353,WBTC,1.5,0.002067
2025-05-02T23:21:54.967Z,22399353,WETH,1.5,0.001158
2025-05-02T23:21:55.199Z,22399353,USDT,1.5,0.001806
2025-05-02T23:22:01.798Z,22399354,USDC,1.5,0.001447
2025-05-02T23:22:02.100Z,22399354,DAI,1.5,0.001194
2025-05-02T23:22:02.394Z,22399354,UNI,1.5,0.001252
2025-05-02T23:22:02.664Z,22399354,WBTC,1.5,0.001791
2025-05-02T23:22:02.911Z,22399354,WETH,1.5,0.00138
2025-05-02T23:22:03.198Z,22399354,USDT,1.5,0.001756
2025-05-02T23:22:13.819Z,22399355,USDC,1.5,0.001685
2025-05-02T23:22:14.305Z,22399355,DAI,1.5,0.001741
2025-05-02T23:22:14.568Z,22399355,UNI,1.5,0.001117
2025-05-02T23:22:14.881Z,22399355,WBTC,1.5,0.001801
2025-05-02T23:22:15.165Z,22399355,WETH,1.5,0.00168
2025-05-02T23:22:15.713Z,22399355,USDT,1.5,0.001374
2025-05-02T23:22:25.840Z,22399356,USDC,1.5,0.001439
2025-05-02T23:22:26.247Z,22399356,DAI,1.5,0.00132
2025-05-02T23:22:26.564Z,22399356,UNI,1.5,0.002493
2025-05-02T23:22:26.808Z,22399356,WBTC,1.5,0.001653
2025-05-02T23:22:27.142Z,22399356,WETH,1.5,0.001566
2025-05-02T23:22:27.702Z,22399356,USDT,1.5,0.000837
2025-05-02T23:22:37.870Z,22399357,USDC,1.5,0.002492
2025-05-02T23:22:38.309Z,22399357,DAI,1.5,0.002177
2025-05-02T23:22:38.654Z,22399357,UNI,1.5,0.001422
2025-05-02T23:22:38.880Z,22399357,WBTC,1.5,0.001653
2025-05-02T23:22:39.283Z,22399357,WETH,1.5,0.00156
2025-05-02T23:22:39.660Z,22399357,USDT,1.5,0.000867
2025-05-19T18:58:29.929Z,22518935,WETH,2.03,0.023944
2025-05-19T18:58:37.731Z,22518936,WETH,1.35,0.039715
2025-05-19T18:58:49.742Z,22518937,WETH,1.63,0.055133
2025-05-19T18:59:01.783Z,22518938,WETH,1.52,0.015348
2025-05-19T18:59:13.822Z,22518939,WETH,2.76,0.027417
2025-05-19T18:59:26.255Z,22518940,WETH,2.99,0.012707
2025-05-19T18:59:37.810Z,22518941,WETH,1.01,0.026094
2025-05-19T18:59:49.821Z,22518942,WETH,1.6,0.013912
2025-05-19T19:00:01.863Z,22518943,WETH,2.61,0.047585
2025-05-19T19:00:13.881Z,22518944,WETH,2.94,0.023966
2025-05-19T19:00:25.930Z,22518945,WETH,1.16,0.041456
2025-05-19T19:00:37.962Z,22518946,WETH,1.66,0.011902
2025-05-19T19:00:49.975Z,22518947,WETH,2.14,0.04287
2025-05-19T19:01:02.339Z,22518948,WETH,1.73,0.01071
2025-05-19T19:01:14.039Z,22518949,WETH,2.88,0.014645
2025-05-19T19:01:26.163Z,22518950,WETH,2.9,0.015966
2025-05-19T19:01:38.083Z,22518951,WETH,1.19,0.012901
2025-05-19T19:01:50.101Z,22518952,WETH,2.06,0.044553
2025-05-19T19:02:06.120Z,22518953,WETH,1.04,0.058416
